HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2023-12-31 23:00:00;2024-01-01 00:00:00;SYSTEM;295,429993;39,630001
2023-12-31 23:00:00;2024-01-01 00:00:00;SE4;220,360001;29,559999
2023-12-31 23:00:00;2024-01-01 00:00:00;SE3;220,360001;29,559999
2023-12-31 23:00:00;2024-01-01 00:00:00;NO2;400,989990;53,790001
2023-12-31 23:00:00;2024-01-01 00:00:00;DK2;217,160004;29,129999
2023-12-31 23:00:00;2024-01-01 00:00:00;DK1;126,660004;16,990000
2023-12-31 23:00:00;2024-01-01 00:00:00;DE;0,750000;0,100000
2024-01-01 00:00:00;2024-01-01 01:00:00;SYSTEM;263,600006;35,360001
2024-01-01 00:00:00;2024-01-01 01:00:00;SE4;212,160004;28,459999
2024-01-01 00:00:00;2024-01-01 01:00:00;SE3;212,160004;28,459999
2024-01-01 00:00:00;2024-01-01 01:00:00;NO2;365,130005;48,980000
2024-01-01 00:00:00;2024-01-01 01:00:00;DK2;212,160004;28,459999
2024-01-01 00:00:00;2024-01-01 01:00:00;DK1;209,779999;28,139999
2024-01-01 00:00:00;2024-01-01 01:00:00;DE;0,070000;0,010000
2024-01-01 01:00:00;2024-01-01 02:00:00;SYSTEM;211,190002;28,330000
2024-01-01 01:00:00;2024-01-01 02:00:00;SE4;198,740005;26,660000
2024-01-01 01:00:00;2024-01-01 02:00:00;SE3;198,740005;26,660000
2024-01-01 01:00:00;2024-01-01 02:00:00;NO2;204,630005;27,450001
2024-01-01 01:00:00;2024-01-01 02:00:00;DK2;198,740005;26,660000
2024-01-01 01:00:00;2024-01-01 02:00:00;DK1;198,740005;26,660000
2024-01-01 01:00:00;2024-01-01 02:00:00;DE;0,000000;0,000000
2024-01-01 02:00:00;2024-01-01 03:00:00;SYSTEM;182,490005;24,480000
2024-01-01 02:00:00;2024-01-01 03:00:00;SE4;182,490005;24,480000
2024-01-01 02:00:00;2024-01-01 03:00:00;SE3;182,490005;24,480000
2024-01-01 02:00:00;2024-01-01 03:00:00;NO2;182,490005;24,480000
2024-01-01 02:00:00;2024-01-01 03:00:00;DK2;182,490005;24,480000
2024-01-01 02:00:00;2024-01-01 03:00:00;DK1;30,860001;4,140000
2024-01-01 02:00:00;2024-01-01 03:00:00;DE;-0,070000;-0,010000
2024-01-01 03:00:00;2024-01-01 04:00:00;SYSTEM;159,830002;21,440001
2024-01-01 03:00:00;2024-01-01 04:00:00;SE4;178,990005;24,010000
2024-01-01 03:00:00;2024-01-01 04:00:00;SE3;178,990005;24,010000
2024-01-01 03:00:00;2024-01-01 04:00:00;NO2;178,990005;24,010000
2024-01-01 03:00:00;2024-01-01 04:00:00;DK2;178,990005;24,010000
2024-01-01 03:00:00;2024-01-01 04:00:00;DK1;-0,220000;-0,030000
2024-01-01 03:00:00;2024-01-01 04:00:00;DE;-0,220000;-0,030000
2024-01-01 04:00:00;2024-01-01 05:00:00;SYSTEM;153,490005;20,590000
2024-01-01 04:00:00;2024-01-01 05:00:00;SE4;158,259995;21,230000
2024-01-01 04:00:00;2024-01-01 05:00:00;SE3;158,259995;21,230000
2024-01-01 04:00:00;2024-01-01 05:00:00;NO2;158,259995;21,230000
2024-01-01 04:00:00;2024-01-01 05:00:00;DK2;118,379997;15,880000
2024-01-01 04:00:00;2024-01-01 05:00:00;DK1;-0,150000;-0,020000
2024-01-01 04:00:00;2024-01-01 05:00:00;DE;-0,150000;-0,020000
2024-01-01 05:00:00;2024-01-01 06:00:00;SYSTEM;155,949997;20,920000
2024-01-01 05:00:00;2024-01-01 06:00:00;SE4;168,630005;22,620001
2024-01-01 05:00:00;2024-01-01 06:00:00;SE3;168,630005;22,620001
2024-01-01 05:00:00;2024-01-01 06:00:00;NO2;168,630005;22,620001
2024-01-01 05:00:00;2024-01-01 06:00:00;DK2;118,309998;15,870000
2024-01-01 05:00:00;2024-01-01 06:00:00;DK1;-0,370000;-0,050000
2024-01-01 05:00:00;2024-01-01 06:00:00;DE;-0,370000;-0,050000
2024-01-01 06:00:00;2024-01-01 07:00:00;SYSTEM;181,970001;24,410000
2024-01-01 06:00:00;2024-01-01 07:00:00;SE4;186,669998;25,040001
